	Date	News	Url	Label
0	2018-07-24	The Nifty IT index was trading 0.18 per cent down at 14,657 around 10:30 am.	https://economictimes.indiatimes.com//markets/stocks/news/stock-market-update-it-index-lone-sectoral-loser-wipro-hcl-tech-slip-up-to-1/articleshow/65113768.cms	0
1	2018-07-23	After TCS and Reliance Industries, now the question is which other companies have a fair chance of joining the $100 billion club over the next five years?	https://economictimes.indiatimes.com//wealth/invest/market-cap-of-each-of-these-companies-is-likely-to-cross-100-billion-in-next-five-years/articleshow/65080131.cms	1
2	2018-07-22	RIL's market valuation surged Rs 20,162.14 crore to Rs 7,15,106.70 crore.	https://economictimes.indiatimes.com//markets/stocks/news/7-of-top-10-firms-add-rs-53800-crore-in-m-cap/articleshow/65088548.cms	1
3	2018-07-21	On Friday, after the market hours, Wipro reported revenue of $2,026 million.	https://economictimes.indiatimes.com//markets/stocks/news/tepid-show-apart-wipro-investors-have-another-worry/articleshow/65078043.cms	1
4	2018-07-20	The no-trust motion against the Modi government came as a major overhang on market.	https://economictimes.indiatimes.com//markets/stocks/news/stocks-show-the-winning-side-take-trust-motion-in-stride/articleshow/65069673.cms	0
5	2018-07-20	The Nifty IT index was trading 1.61 per cent up at 14,723 around 11:25 am.	https://economictimes.indiatimes.com//markets/stocks/news/share-market-update-it-stocks-rise-as-rupee-plunge-to-life-time-low-infosys-jumps-over-3/articleshow/65065113.cms	1
6	2018-07-17	Hold Tata Consultancy Services Ltd. at a price target of Rs 2060.0 .	https://economictimes.indiatimes.com//markets/stocks/recos/hold-tata-consultancy-services-target-rs-2060-icici-direct/articleshow/65024450.cms	1
7	2018-07-17	The Nifty IT index was trading 0.22 per cent up at 14,649 around 12:30 pm.	https://economictimes.indiatimes.com//markets/stocks/news/share-market-update-wipro-hcl-tech-pull-nifty-it-index-up/articleshow/65020922.cms	1
8	2018-07-16	TCS wins The Best Innovation Centre by a Non-Financial Services Institution at The Asian Banker Awards 2018	https://economictimes.indiatimes.com/http://www.bseindia.com/xml-data/corpfiling/AttachLive/39d4644b-5f61-4e9e-93c4-d7793788c725.pdf	1
9	2018-07-16	Wipro shares fell 7 per cent in the last quarter, while Infosys’ shares were up 15 per cent.	https://economictimes.indiatimes.com//markets/stocks/news/foreign-portfolio-investors-are-reducing-exposure-to-indian-it/articleshow/65005291.cms	0
10	2018-07-15	RIL's market valuation soared to Rs 6,94,944.56 crore, emerging as the biggest gainer.	https://economictimes.indiatimes.com//markets/stocks/news/market-cap-of-nine-of-top-10-most-valued-companies-zoom-rs-1-58-lakh-crore/articleshow/64995377.cms	1
11	2018-07-14	Infosys failed to show improvement in revenue from the BFSI vertical.	https://economictimes.indiatimes.com//markets/stocks/news/infosys-unable-to-keep-pace-tcs-to-outperform-on-bourses-too/articleshow/64983337.cms	0
12	2018-07-14	Parekh, who took charge in January, wants to consolidate gains in fiscal 2020 before accelerating in fiscal 2021.	https://economictimes.indiatimes.com//markets/stocks/news/panaya-acquisition-remains-a-bug-in-the-infosys-code/articleshow/64984181.cms	1
13	2018-07-13	The Nifty IT index was trading 0.30 per cent up at 14,559 at that time.	https://economictimes.indiatimes.com//markets/stocks/news/share-market-update-nifty-it-lone-sectoral-gainer-wipro-infosys-hold-up/articleshow/64971311.cms	1
14	2018-07-13	ET takes a look at whether these stocks can continue their strong run.	https://economictimes.indiatimes.com//markets/stocks/news/fab-five-helped-nifty-shrug-off-2018-low-with-1000-point-push/articleshow/64970716.cms	0
15	2018-07-13	Prior to this, RIL broke into the $100-billion club once, in October 2007.	https://economictimes.indiatimes.com//markets/stocks/news/ril-joins-tcs-in-100-billion-m-cap-club/articleshow/64970611.cms	1
16	2018-07-12	Equity benchmarks Sensex scaled all-time high of 36,699.53 and Nifty50 topped the psychologically important level of 11,000 on Thursday.	https://economictimes.indiatimes.com//markets/stocks/news/share-market-update-check-out-the-most-active-stocks-of-thursdays-session/articleshow/64962110.cms	1
17	2018-07-12	The Nifty IT index was trading 0.34 per cent down at 14,486 around 02:40 pm.	https://economictimes.indiatimes.com//markets/stocks/news/stock-market-update-it-stocks-mixed-amid-a-fresh-fall-in-rupee-infosys-tcs-among-losers/articleshow/64960154.cms	0
18	2018-07-12	Hold Tata Consultancy Services Ltd. at a price target of Rs 1720.	https://economictimes.indiatimes.com//markets/stocks/recos/hold-tata-consultancy-services-target-rs-1720-jm-financial/articleshow/64958200.cms	1
19	2018-07-12	Kotak Institutional Equities has maintained its bearish view citing expensive valuation.	https://economictimes.indiatimes.com//markets/stocks/news/brokerages-upgrade-tcs-raise-target-by-up-to-34/articleshow/64956104.cms	0
20	2018-07-12	Tata Consultancy Services was leading the pack of most active stocks in value terms on NSE.	https://economictimes.indiatimes.com//markets/stocks/news/buzzing-stocks-adani-power-idbi-bank-tcs-ril/articleshow/64956178.cms	1
21	2018-07-12	The intensifying trade war rhetoric between the US and China has weighed on most emerging markets.	https://economictimes.indiatimes.com//markets/stocks/news/resilient-bluechips-help-india-top-the-em-charts/articleshow/64955308.cms	0
22	2018-07-12	The HCL Tech promoters, with a holding of over 60 per cent, will end up mobilising over Rs 3,000 crore through this route.	https://economictimes.indiatimes.com//markets/stocks/news/hcl-tech-may-buy-back-shares-worth-rs-5000-crore-at-rs-1150-apiece/articleshow/64955212.cms	1
23	2018-07-12	Here are all the bulk deals on NSE and BSE from Wednesday’s session.	https://economictimes.indiatimes.com//markets/stocks/news/here-are-all-the-bulk-deals-from-wednesdays-session/articleshow/64954891.cms	0
24	2018-07-11	The stock was the biggest gainer among the blue chips on both the key indices.	https://economictimes.indiatimes.com//markets/stocks/news/tcs-stock-surges-5-5-m-cap-zooms-rs-39282-cr-post-q1-earnings/articleshow/64949956.cms	1
25	2018-07-11	Escalating trade tensions between the US and China capped the market upside.	https://economictimes.indiatimes.com//markets/stocks/news/sensex-shrugs-off-asian-selloff-to-end-flat-nifty-settles-below-10950/articleshow/64947017.cms	0
26	2018-07-11	"Tata Consultancy Services Ltd has informed BSE that the Company has fixed July 18, 2018 as the Record Date for the purpose of Payment of Interim Dividend. 
 
 The Interim Dividend will be paid to the equity shareholders of the Company on July 25, 2018."	https://economictimes.indiatimes.com/http://www.bseindia.com/xml-data/corpfiling/AttachLive/9751C237_DE32_434E_A959_865B3A4A8A67_135522.pdf	1
27	2018-07-11	Among 51 components in the Nifty index, 23 shares were trading in the green, while 27 were in the red.	https://economictimes.indiatimes.com//markets/stocks/news/stock-market-update-sensex-nifty-flat-these-stocks-surge-up-to-20/articleshow/64942263.cms	0
28	2018-07-11	The IT major reported Rs 7,340 crore consolidated net profit for the first quarter of 2018-19.	https://economictimes.indiatimes.com//markets/stocks/news/tata-consultancy-services-scales-fresh-record-high-post-q1-numbers/articleshow/64941759.cms	1
29	2018-07-11	Macquarie upgraded TCS shares to 'outperform' from 'neutral' with a target price of Rs 2,015.	https://economictimes.indiatimes.com//markets/stocks/news/global-brokerages-give-thumbs-up-to-tcs-post-q1-results-should-you-invest/articleshow/64941467.cms	1
30	2018-07-11	TCS reported a profit of $1.08 billion for the first quarter, up from $1.07 billion in the fourth quarter last year.	https://economictimes.indiatimes.com//markets/stocks/earnings/tcs-dribbles-past-estimates-with-fastest-growth-in-15-quarters/articleshow/64940718.cms	1
31	2018-07-11	Let's check out what all might matter to Dalal Street on Wednesday.	https://economictimes.indiatimes.com//markets/stocks/news/what-changed-your-markets-while-you-were-sleeping/articleshow/64940198.cms	0
32	2018-07-10	Consolidated revenue for the quarter rose 15.80 per cent to Rs 34,261 cr from Rs 29,584 cr.	https://economictimes.indiatimes.com//markets/stocks/news/tcs-beats-street-estimates-q1-profit-grows-23-to-rs-7340-crore-sales-rise-16/articleshow/64932973.cms	1
33	2018-07-10	The Nifty IT index was trading 0.77 per cent up at 14,218 around 01:45 pm.	https://economictimes.indiatimes.com//markets/stocks/news/share-market-update-hcl-tech-wipro-keep-it-pack-in-the-positive-zone/articleshow/64930044.cms	1
34	2018-07-10	Domestic equity markets ended at a five-month closing high on Monday.	https://economictimes.indiatimes.com//markets/stocks/news/bse-revises-circuit-limit-for-these-6-stocks-effective-today/articleshow/64927901.cms	1
35	2018-07-10	Reliance Industries was leading the pack of most active stocks in value terms.	https://economictimes.indiatimes.com//markets/stocks/news/buzzing-stocks-rcom-dish-tv-gmr-infra-hdfc-bank-tcs/articleshow/64927370.cms	1
36	2018-07-10	Revenue is likely to rise 15 per cent YoY to Rs 33,921.4 crore against Rs 29,584.	https://economictimes.indiatimes.com//markets/stocks/news/tcs-shares-flat-ahead-of-q1-results/articleshow/64927239.cms	1
37	2018-07-09	The rally in Sensex was fuelled by gains in RIL, Infosys, L&T, Asian Paints, YES Bank and ITC.	https://economictimes.indiatimes.com//markets/stocks/news/sensex-jumps-277-pts-nifty50-tops-10850-on-global-rally/articleshow/64918162.cms	1
38	2018-07-09	Tata Consultancy Services is slated to declare its June quarter results on Tuesday.	https://economictimes.indiatimes.com//markets/stocks/news/-share-market-update-it-stocks-up-but-tcs-falls-ahead-of-q1-result/articleshow/64916910.cms	0
